_step,ep_info/Goal,seed
1169,1,1778270963
2581,0,1778270963
7122,0,1778270963
7137,0,1778270963
10337,0,1778270963
10981,0,1778270963
12628,0,1778270963
13350,0,1778270963
16243,0,1778270963
16790,0,1778270963
17337,0,1778270963
20210,0,1778270963
21874,0,1778270963
22390,0,1778270963
24348,0,1778270963
26926,0,1778270963
28354,0,1778270963
29856,-1,1778270963
30446,0,1778270963
32274,0,1778270963
32351,0,1778270963
33750,0,1778270963
35599,0,1778270963
36776,1,1778270963
38580,0,1778270963
38776,0,1778270963
38950,0,1778270963
39545,0,1778270963
46911,0,1778270963
47060,0,1778270963
47824,0,1778270963
48329,-1,1778270963
48641,0,1778270963
48777,-1,1778270963
49108,1,1778270963
50781,-1,1778270963
51252,0,1778270963
51292,0,1778270963
51515,0,1778270963
51537,0,1778270963
52315,0,1778270963
53121,0,1778270963
53241,-1,1778270963
53791,1,1778270963
55480,0,1778270963
56619,0,1778270963
56974,0,1778270963
57284,0,1778270963
58413,0,1778270963
59043,0,1778270963
59049,-1,1778270963
60871,0,1778270963
61472,0,1778270963
69450,1,1778270963
69941,1,1778270963
70092,0,1778270963
73079,-1,1778270963
74469,0,1778270963
75042,1,1778270963
75399,1,1778270963
75801,0,1778270963
77620,0,1778270963
78110,-1,1778270963
78242,0,1778270963
78581,-1,1778270963
79992,0,1778270963
81275,0,1778270963
82323,0,1778270963
82604,0,1778270963
82880,0,1778270963
84267,0,1778270963
88767,0,1778270963
89657,0,1778270963
93142,0,1778270963
95378,0,1778270963
95745,0,1778270963
97136,1,1778270963
97178,0,1778270963
97201,0,1778270963
97340,0,1778270963
97593,-1,1778270963
99762,0,1778270963
100071,0,1778270963
103208,0,1778270963
103498,0,1778270963
103620,0,1778270963
106420,0,1778270963
106829,0,1778270963
106970,0,1778270963
108766,0,1778270963
109935,0,1778270963
110373,0,1778270963
110569,0,1778270963
111724,0,1778270963
111862,0,1778270963
116381,0,1778270963
116991,-1,1778270963
118679,0,1778270963
119362,1,1778270963
120407,1,1778270963
122305,0,1778270963
124297,0,1778270963
127692,1,1778270963
128988,0,1778270963
129678,0,1778270963
131048,1,1778270963
131062,0,1778270963
131676,0,1778270963
132076,0,1778270963
133165,1,1778270963
134072,0,1778270963
137399,0,1778270963
138255,-1,1778270963
139221,1,1778270963
139225,0,1778270963
140478,1,1778270963
141213,1,1778270963
141948,1,1778270963
142226,0,1778270963
145218,0,1778270963
145344,1,1778270963
145608,0,1778270963
146250,1,1778270963
149384,-1,1778270963
153915,1,1778270963
154752,0,1778270963
155119,0,1778270963
156402,0,1778270963
158200,1,1778270963
160277,1,1778270963
162694,0,1778270963
163292,0,1778270963
163870,0,1778270963
165870,0,1778270963
166495,1,1778270963
167071,0,1778270963
167476,1,1778270963
168741,1,1778270963
169880,0,1778270963
171550,0,1778270963
172647,0,1778270963
172738,1,1778270963
174719,0,1778270963
178366,1,1778270963
179356,1,1778270963
179826,-1,1778270963
180861,1,1778270963
181332,0,1778270963
185626,0,1778270963
188764,0,1778270963
188805,0,1778270963
191462,0,1778270963
192365,0,1778270963
192427,1,1778270963
193135,0,1778270963
193644,1,1778270963
194461,1,1778270963
196806,0,1778270963
196975,1,1778270963
197309,0,1778270963
198117,0,1778270963
199982,0,1778270963
203726,0,1778270963
203735,0,1778270963
204296,0,1778270963
205501,0,1778270963
205545,0,1778270963
208905,0,1778270963
210314,0,1778270963
212991,-1,1778270963
214049,0,1778270963
214644,1,1778270963
215241,0,1778270963
217516,0,1778270963
217679,0,1778270963
220665,0,1778270963
221704,0,1778270963
221710,1,1778270963
222327,0,1778270963
222615,0,1778270963
223192,0,1778270963
223964,0,1778270963
225263,1,1778270963
225465,1,1778270963
226193,0,1778270963
227038,1,1778270963
227941,0,1778270963
232473,0,1778270963
233229,1,1778270963
233787,0,1778270963
235384,0,1778270963
237331,1,1778270963
237402,0,1778270963
237528,0,1778270963
238546,0,1778270963
239774,1,1778270963
240346,0,1778270963
240681,0,1778270963
240939,0,1778270963
240983,1,1778270963
241605,0,1778270963
241705,0,1778270963
242796,1,1778270963
242920,1,1778270963
243297,1,1778270963
243489,1,1778270963
244738,0,1778270963
245073,1,1778270963
245756,0,1778270963
245793,0,1778270963
246442,0,1778270963
246537,1,1778270963
246959,1,1778270963
247334,0,1778270963
247466,0,1778270963
248521,0,1778270963
248713,0,1778270963
249198,1,1778270963
249296,1,1778270963
250175,0,1778270963
250215,1,1778270963
250285,0,1778270963
251435,1,1778270963
251543,0,1778270963
252770,0,1778270963
253189,0,1778270963
255231,0,1778270963
256476,0,1778270963
256485,0,1778270963
256942,1,1778270963
257134,0,1778270963
258962,0,1778270963
260011,1,1778270963
260933,0,1778270963
261111,0,1778270963
262419,0,1778270963
262472,1,1778270963
265326,0,1778270963
265635,1,1778270963
266439,1,1778270963
