_step,ep_info/Goal,seed
1999,0,1765399595
9599,0,1765399595
9673,0,1765399595
12270,1,1765399595
12799,0,1765399595
14345,0,1765399595
15011,0,1765399595
18133,0,1765399595
18722,1,1765399595
19261,0,1765399595
21925,0,1765399595
23861,0,1765399595
25470,0,1765399595
27661,0,1765399595
29011,0,1765399595
30366,0,1765399595
30933,0,1765399595
32577,0,1765399595
32643,0,1765399595
33939,0,1765399595
35853,0,1765399595
37053,0,1765399595
39100,1,1765399595
39231,0,1765399595
39877,0,1765399595
46596,0,1765399595
46843,-1,1765399595
47630,-1,1765399595
48039,0,1765399595
48555,0,1765399595
48861,0,1765399595
50494,-1,1765399595
50963,0,1765399595
51053,1,1765399595
51211,1,1765399595
52963,0,1765399595
53494,-1,1765399595
55000,0,1765399595
56534,0,1765399595
56787,0,1765399595
57975,0,1765399595
58637,-1,1765399595
58697,1,1765399595
60967,0,1765399595
68377,-1,1765399595
68847,1,1765399595
71901,0,1765399595
73325,0,1765399595
74277,0,1765399595
74648,0,1765399595
76505,-1,1765399595
77111,0,1765399595
77137,0,1765399595
77493,-1,1765399595
78768,-1,1765399595
81758,1,1765399595
83089,1,1765399595
87547,0,1765399595
88470,0,1765399595
91971,0,1765399595
94181,1,1765399595
94484,0,1765399595
95858,0,1765399595
96125,1,1765399595
96424,1,1765399595
101887,0,1765399595
101964,1,1765399595
104354,0,1765399595
104731,0,1765399595
104802,1,1765399595
106381,0,1765399595
107366,0,1765399595
107773,1,1765399595
107935,0,1765399595
109030,-1,1765399595
109139,1,1765399595
113437,-1,1765399595
115609,0,1765399595
116393,0,1765399595
117411,0,1765399595
118976,0,1765399595
121018,0,1765399595
124568,1,1765399595
125838,0,1765399595
126406,0,1765399595
127769,0,1765399595
127793,1,1765399595
128340,1,1765399595
128700,0,1765399595
129704,1,1765399595
130433,1,1765399595
133418,-1,1765399595
134193,1,1765399595
135169,0,1765399595
135188,1,1765399595
137135,1,1765399595
140736,1,1765399595
140952,1,1765399595
141129,0,1765399595
141706,0,1765399595
144513,1,1765399595
149779,1,1765399595
150982,1,1765399595
154584,0,1765399595
157880,1,1765399595
159593,1,1765399595
160123,0,1765399595
160642,0,1765399595
161042,0,1765399595
162207,0,1765399595
163098,0,1765399595
164594,1,1765399595
165517,1,1765399595
165692,0,1765399595
170779,0,1765399595
171651,0,1765399595
172039,1,1765399595
173126,1,1765399595
177648,1,1765399595
180432,-1,1765399595
180484,0,1765399595
182731,1,1765399595
183484,0,1765399595
183538,1,1765399595
184145,1,1765399595
184505,1,1765399595
185239,0,1765399595
186946,1,1765399595
187211,0,1765399595
188162,1,1765399595
189779,0,1765399595
192811,0,1765399595
193246,1,1765399595
194335,1,1765399595
194435,1,1765399595
196951,0,1765399595
198314,0,1765399595
200590,0,1765399595
201385,1,1765399595
202249,0,1765399595
203914,0,1765399595
204050,1,1765399595
206364,0,1765399595
207141,1,1765399595
207152,1,1765399595
208226,0,1765399595
208896,0,1765399595
209870,0,1765399595
210029,1,1765399595
210550,0,1765399595
211551,1,1765399595
212295,1,1765399595
216405,1,1765399595
218099,0,1765399595
219730,1,1765399595
219774,1,1765399595
219911,0,1765399595
220735,1,1765399595
221779,1,1765399595
222192,1,1765399595
222448,0,1765399595
222657,1,1765399595
222677,1,1765399595
223084,0,1765399595
223159,1,1765399595
223979,0,1765399595
224507,1,1765399595
225813,-1,1765399595
226257,1,1765399595
226285,1,1765399595
226897,0,1765399595
227356,1,1765399595
228731,1,1765399595
229227,1,1765399595
229941,0,1765399595
230008,1,1765399595
230923,0,1765399595
232325,0,1765399595
233870,1,1765399595
234718,1,1765399595
235035,0,1765399595
235198,1,1765399595
236444,1,1765399595
237868,1,1765399595
237961,0,1765399595
238937,0,1765399595
241146,1,1765399595
241355,1,1765399595
241890,1,1765399595
242067,1,1765399595
243968,1,1765399595
244091,1,1765399595
244680,1,1765399595
245447,1,1765399595
245581,1,1765399595
245854,1,1765399595
246877,1,1765399595
247468,1,1765399595
247877,1,1765399595
251343,1,1765399595
251444,1,1765399595
251984,0,1765399595
253242,1,1765399595
255612,1,1765399595
255714,1,1765399595
256410,-1,1765399595
256579,1,1765399595
257896,0,1765399595
257974,0,1765399595
259553,1,1765399595
259752,1,1765399595
261366,1,1765399595
263144,1,1765399595
263487,1,1765399595
265232,1,1765399595
265993,1,1765399595
266592,1,1765399595
272003,1,1765399595
272104,1,1765399595
272380,0,1765399595
272647,1,1765399595
273896,1,1765399595
273959,1,1765399595
274377,1,1765399595
275793,1,1765399595
275986,1,1765399595
276322,1,1765399595
276523,0,1765399595
277248,1,1765399595
277827,0,1765399595
278190,1,1765399595
279616,1,1765399595
281668,1,1765399595
281894,1,1765399595
282512,1,1765399595
282574,1,1765399595
284941,0,1765399595
286228,0,1765399595
286689,1,1765399595
286775,1,1765399595
288409,1,1765399595
289469,1,1765399595
290114,1,1765399595
292017,1,1765399595
293425,1,1765399595
298224,0,1765399595
298254,1,1765399595
299079,1,1765399595
299188,1,1765399595
299789,1,1765399595
301288,1,1765399595
301306,0,1765399595
301995,1,1765399595
304583,1,1765399595
304584,1,1765399595
304903,1,1765399595
305113,-1,1765399595
305847,1,1765399595
306031,1,1765399595
307836,1,1765399595
309228,1,1765399595
309979,1,1765399595
310042,1,1765399595
311120,1,1765399595
311191,0,1765399595
312654,1,1765399595
315087,0,1765399595
316804,1,1765399595
317964,1,1765399595
319582,1,1765399595
320176,1,1765399595
320210,1,1765399595
322410,1,1765399595
323313,1,1765399595
324610,0,1765399595
326442,1,1765399595
326503,1,1765399595
326570,1,1765399595
327166,1,1765399595
328644,1,1765399595
329431,1,1765399595
330119,0,1765399595
331355,1,1765399595
333219,1,1765399595
333659,1,1765399595
333984,0,1765399595
334234,1,1765399595
335124,1,1765399595
336556,1,1765399595
336781,1,1765399595
337493,1,1765399595
338894,1,1765399595
339298,1,1765399595
340094,0,1765399595
340150,1,1765399595
340578,1,1765399595
341291,1,1765399595
342820,1,1765399595
342827,1,1765399595
343241,0,1765399595
344536,0,1765399595
345165,1,1765399595
345326,1,1765399595
345479,1,1765399595
345821,1,1765399595
346397,1,1765399595
347024,1,1765399595
347231,1,1765399595
349296,1,1765399595
350499,1,1765399595
350911,1,1765399595
351472,1,1765399595
351595,1,1765399595
351979,0,1765399595
355248,1,1765399595
355473,1,1765399595
356561,1,1765399595
356728,1,1765399595
357549,1,1765399595
358180,1,1765399595
358230,1,1765399595
358774,1,1765399595
359581,1,1765399595
360218,1,1765399595
361094,1,1765399595
362395,0,1765399595
362495,0,1765399595
362581,0,1765399595
362898,1,1765399595
364598,1,1765399595
368786,1,1765399595
370387,-1,1765399595
370673,1,1765399595
370836,1,1765399595
370930,1,1765399595
371564,0,1765399595
371941,0,1765399595
373188,1,1765399595
373255,1,1765399595
373263,1,1765399595
374275,1,1765399595
375645,1,1765399595
375833,-1,1765399595
376314,1,1765399595
376717,0,1765399595
377149,1,1765399595
377633,1,1765399595
377757,0,1765399595
378348,1,1765399595
378674,0,1765399595
378740,1,1765399595
380094,1,1765399595
380352,1,1765399595
381470,1,1765399595
382098,1,1765399595
383210,0,1765399595
383452,1,1765399595
384348,1,1765399595
384450,1,1765399595
384606,1,1765399595
384901,1,1765399595
385076,1,1765399595
385868,1,1765399595
387162,1,1765399595
388463,1,1765399595
388701,1,1765399595
389207,1,1765399595
389424,1,1765399595
390526,1,1765399595
391130,1,1765399595
391980,1,1765399595
392141,1,1765399595
392247,1,1765399595
393882,1,1765399595
394865,-1,1765399595
395691,1,1765399595
395939,1,1765399595
398499,1,1765399595
398736,1,1765399595
398887,0,1765399595
399380,1,1765399595
399480,1,1765399595
400853,1,1765399595
402254,1,1765399595
403410,1,1765399595
405425,1,1765399595
407925,1,1765399595
409997,1,1765399595
410373,1,1765399595
410452,1,1765399595
410930,1,1765399595
411142,1,1765399595
411209,1,1765399595
411669,1,1765399595
412851,1,1765399595
415264,1,1765399595
416745,1,1765399595
417354,1,1765399595
417483,1,1765399595
417499,1,1765399595
418869,1,1765399595
419232,1,1765399595
419543,1,1765399595
421309,1,1765399595
421499,1,1765399595
423374,1,1765399595
423669,1,1765399595
424117,1,1765399595
424319,1,1765399595
424831,1,1765399595
425768,1,1765399595
426363,1,1765399595
426571,0,1765399595
427038,1,1765399595
427259,1,1765399595
427836,1,1765399595
428588,1,1765399595
428596,1,1765399595
428835,0,1765399595
429235,1,1765399595
429969,1,1765399595
430486,1,1765399595
430889,1,1765399595
431160,1,1765399595
432601,0,1765399595
433064,1,1765399595
433707,0,1765399595
437299,1,1765399595
437751,1,1765399595
438149,1,1765399595
440357,0,1765399595
442955,1,1765399595
443263,1,1765399595
444881,1,1765399595
450014,1,1765399595
452812,1,1765399595
454452,0,1765399595
455561,1,1765399595
455579,1,1765399595
455599,1,1765399595
455715,1,1765399595
457185,1,1765399595
457670,1,1765399595
458556,1,1765399595
459263,1,1765399595
459702,1,1765399595
459767,1,1765399595
460305,1,1765399595
461205,0,1765399595
461328,0,1765399595
461393,1,1765399595
465580,1,1765399595
466620,1,1765399595
466933,1,1765399595
468108,1,1765399595
468475,1,1765399595
468549,1,1765399595
468772,0,1765399595
469228,0,1765399595
469452,1,1765399595
469834,1,1765399595
470232,0,1765399595
470445,1,1765399595
471045,0,1765399595
471192,1,1765399595
471981,0,1765399595
472843,1,1765399595
473821,1,1765399595
474092,1,1765399595
475345,1,1765399595
476264,1,1765399595
478066,1,1765399595
478317,1,1765399595
478710,1,1765399595
479034,1,1765399595
480541,-1,1765399595
481796,1,1765399595
481856,1,1765399595
482067,1,1765399595
482346,0,1765399595
484414,1,1765399595
485357,1,1765399595
485988,1,1765399595
486868,1,1765399595
487710,1,1765399595
488273,1,1765399595
488966,1,1765399595
489109,1,1765399595
489121,0,1765399595
489228,1,1765399595
489335,1,1765399595
490071,1,1765399595
491542,1,1765399595
492720,1,1765399595
496179,1,1765399595
496357,1,1765399595
497036,1,1765399595
498248,1,1765399595
498750,1,1765399595
499604,1,1765399595
1013,0,1765412454
7338,0,1765412454
7339,0,1765412454
10139,0,1765412454
10674,0,1765412454
12377,0,1765412454
13074,0,1765412454
16243,0,1765412454
16777,0,1765412454
17296,0,1765412454
20272,0,1765412454
22399,0,1765412454
24034,0,1765412454
26161,0,1765412454
27554,0,1765412454
28880,0,1765412454
29405,0,1765412454
31104,0,1765412454
31171,0,1765412454
32427,0,1765412454
34368,0,1765412454
35610,0,1765412454
37581,0,1765412454
37627,0,1765412454
38270,0,1765412454
45072,0,1765412454
45204,0,1765412454
45872,0,1765412454
46321,-1,1765412454
46830,0,1765412454
47127,0,1765412454
48736,0,1765412454
49285,0,1765412454
49326,0,1765412454
49508,-1,1765412454
51137,-1,1765412454
51268,0,1765412454
51745,-1,1765412454
53390,1,1765412454
54572,0,1765412454
54873,0,1765412454
55090,0,1765412454
56296,1,1765412454
57043,0,1765412454
57096,0,1765412454
59766,0,1765412454
67545,0,1765412454
68116,0,1765412454
71013,1,1765412454
72316,0,1765412454
73194,1,1765412454
73548,0,1765412454
75490,0,1765412454
75909,0,1765412454
75939,1,1765412454
76275,1,1765412454
77556,1,1765412454
80680,0,1765412454
81953,1,1765412454
86501,0,1765412454
87514,0,1765412454
90925,0,1765412454
93220,1,1765412454
93517,-1,1765412454
94934,0,1765412454
95166,0,1765412454
95474,0,1765412454
101076,0,1765412454
101230,0,1765412454
103729,0,1765412454
104129,0,1765412454
104232,0,1765412454
105952,0,1765412454
106884,0,1765412454
107310,0,1765412454
107538,0,1765412454
108518,0,1765412454
108774,0,1765412454
112896,0,1765412454
115055,1,1765412454
115800,-1,1765412454
116916,0,1765412454
118505,0,1765412454
120394,0,1765412454
124126,0,1765412454
125457,1,1765412454
125960,1,1765412454
127200,1,1765412454
127241,0,1765412454
127904,0,1765412454
128229,1,1765412454
129314,0,1765412454
130135,0,1765412454
133511,0,1765412454
134274,1,1765412454
135108,0,1765412454
135158,0,1765412454
136267,0,1765412454
136899,0,1765412454
140441,0,1765412454
140637,0,1765412454
140876,0,1765412454
141527,0,1765412454
144547,1,1765412454
149625,0,1765412454
150821,0,1765412454
154269,1,1765412454
157337,0,1765412454
159174,1,1765412454
159659,1,1765412454
160114,1,1765412454
160495,0,1765412454
161668,0,1765412454
162522,0,1765412454
163999,1,1765412454
164918,1,1765412454
165062,1,1765412454
166847,-1,1765412454
170174,0,1765412454
171067,1,1765412454
171467,0,1765412454
172496,-1,1765412454
176900,0,1765412454
179841,-1,1765412454
179852,0,1765412454
182133,0,1765412454
182748,1,1765412454
182780,0,1765412454
183441,0,1765412454
183896,0,1765412454
184581,0,1765412454
186524,1,1765412454
186706,-1,1765412454
187750,0,1765412454
189516,1,1765412454
192650,0,1765412454
193063,0,1765412454
193978,-1,1765412454
194103,1,1765412454
196954,1,1765412454
198327,1,1765412454
200706,0,1765412454
201458,1,1765412454
202252,0,1765412454
204116,1,1765412454
204253,1,1765412454
206678,1,1765412454
207487,1,1765412454
207499,1,1765412454
208607,1,1765412454
209216,0,1765412454
210337,0,1765412454
210548,0,1765412454
211040,1,1765412454
211825,1,1765412454
212661,1,1765412454
216660,1,1765412454
218464,1,1765412454
220103,1,1765412454
220116,0,1765412454
220184,1,1765412454
220938,1,1765412454
221926,1,1765412454
222333,1,1765412454
222606,1,1765412454
222750,1,1765412454
222775,1,1765412454
223295,1,1765412454
223340,1,1765412454
224151,1,1765412454
224740,1,1765412454
226113,1,1765412454
226628,1,1765412454
226663,1,1765412454
227218,0,1765412454
227599,1,1765412454
228925,1,1765412454
229345,1,1765412454
230064,1,1765412454
230090,1,1765412454
230187,0,1765412454
231175,1,1765412454
232485,1,1765412454
233986,1,1765412454
234930,1,1765412454
235282,1,1765412454
235454,0,1765412454
236849,1,1765412454
238082,1,1765412454
238220,1,1765412454
239231,1,1765412454
241374,1,1765412454
241572,0,1765412454
242290,1,1765412454
242455,0,1765412454
244218,1,1765412454
244357,0,1765412454
244814,-1,1765412454
245541,1,1765412454
245683,1,1765412454
246031,1,1765412454
246904,1,1765412454
247629,0,1765412454
247964,1,1765412454
248104,1,1765412454
251366,1,1765412454
251431,-1,1765412454
252012,1,1765412454
253021,1,1765412454
253405,1,1765412454
255182,1,1765412454
255292,1,1765412454
256015,1,1765412454
256182,1,1765412454
257548,1,1765412454
257622,1,1765412454
259101,1,1765412454
259323,0,1765412454
259528,1,1765412454
261137,1,1765412454
261953,0,1765412454
263216,1,1765412454
263601,1,1765412454
265302,0,1765412454
266275,1,1765412454
266911,0,1765412454
272376,1,1765412454
272433,1,1765412454
272644,1,1765412454
272892,0,1765412454
274066,1,1765412454
274112,1,1765412454
274591,0,1765412454
276189,1,1765412454
276333,1,1765412454
276650,1,1765412454
276971,1,1765412454
277774,1,1765412454
278088,1,1765412454
278310,1,1765412454
278601,-1,1765412454
280119,0,1765412454
282310,0,1765412454
282602,0,1765412454
283389,1,1765412454
283478,0,1765412454
285989,1,1765412454
287282,1,1765412454
287830,1,1765412454
287907,0,1765412454
289443,1,1765412454
290525,0,1765412454
291250,0,1765412454
293172,1,1765412454
294646,1,1765412454
299864,1,1765412454
299909,1,1765412454
300756,1,1765412454
300932,1,1765412454
301568,1,1765412454
303145,1,1765412454
303163,1,1765412454
303984,1,1765412454
306746,1,1765412454
306747,1,1765412454
307051,1,1765412454
307265,0,1765412454
308108,1,1765412454
308308,1,1765412454
310363,0,1765412454
311891,1,1765412454
312770,1,1765412454
312838,0,1765412454
314065,1,1765412454
314104,1,1765412454
315632,1,1765412454
318217,1,1765412454
319984,1,1765412454
321363,1,1765412454
323195,1,1765412454
323948,1,1765412454
324001,1,1765412454
324945,1,1765412454
326578,1,1765412454
327452,1,1765412454
328860,1,1765412454
330790,1,1765412454
330829,-1,1765412454
330868,1,1765412454
331535,1,1765412454
333247,0,1765412454
334075,1,1765412454
334669,1,1765412454
336052,1,1765412454
337079,1,1765412454
337847,1,1765412454
338495,0,1765412454
338856,1,1765412454
339084,1,1765412454
340112,1,1765412454
341610,1,1765412454
341910,1,1765412454
342785,1,1765412454
344161,1,1765412454
344557,1,1765412454
345360,1,1765412454
345441,1,1765412454
345877,1,1765412454
346765,1,1765412454
347777,1,1765412454
348256,1,1765412454
348278,1,1765412454
348783,1,1765412454
350306,0,1765412454
350960,0,1765412454
351211,1,1765412454
351457,1,1765412454
351716,1,1765412454
352240,0,1765412454
352954,1,1765412454
353240,1,1765412454
355636,0,1765412454
356885,-1,1765412454
357393,1,1765412454
357873,0,1765412454
358025,1,1765412454
358398,1,1765412454
361554,1,1765412454
361764,1,1765412454
362605,1,1765412454
362956,1,1765412454
363113,1,1765412454
364115,1,1765412454
364796,1,1765412454
364870,1,1765412454
365387,1,1765412454
366067,1,1765412454
366818,1,1765412454
367796,1,1765412454
368781,1,1765412454
369427,1,1765412454
369512,0,1765412454
369660,0,1765412454
369995,1,1765412454
371695,1,1765412454
375860,1,1765412454
377527,0,1765412454
377742,1,1765412454
377943,1,1765412454
378014,1,1765412454
378696,1,1765412454
379028,1,1765412454
380357,1,1765412454
380419,1,1765412454
380424,1,1765412454
381545,0,1765412454
382969,1,1765412454
383187,1,1765412454
383612,1,1765412454
384123,1,1765412454
384616,1,1765412454
385127,1,1765412454
385253,1,1765412454
385953,1,1765412454
386258,1,1765412454
386356,1,1765412454
387778,1,1765412454
388073,1,1765412454
389316,1,1765412454
390086,1,1765412454
391227,1,1765412454
391529,1,1765412454
392453,1,1765412454
392588,1,1765412454
392971,1,1765412454
393193,1,1765412454
393355,1,1765412454
394138,1,1765412454
395476,1,1765412454
396924,0,1765412454
397175,1,1765412454
397709,1,1765412454
397846,1,1765412454
398819,0,1765412454
399448,1,1765412454
400479,1,1765412454
400730,1,1765412454
400838,1,1765412454
402664,1,1765412454
403781,1,1765412454
404550,1,1765412454
404817,1,1765412454
407659,-1,1765412454
407862,1,1765412454
408029,1,1765412454
408416,1,1765412454
408549,1,1765412454
409897,1,1765412454
410752,0,1765412454
411530,1,1765412454
412582,1,1765412454
414469,1,1765412454
417046,1,1765412454
419132,1,1765412454
419572,0,1765412454
419630,1,1765412454
420070,1,1765412454
420335,0,1765412454
420409,1,1765412454
420895,1,1765412454
422196,0,1765412454
424794,1,1765412454
426482,1,1765412454
